task,cohort,feature_policy,model,fold,train_samples,val_samples,accuracy,precision,recall,f1_score,specificity,roc_auc
TASK_2_BINARY_HARDWARE,TARGETED_41,ORACLE_PERMISSION_ABLATION,Random_Forest,5,33,8,1.0,1.0,1.0,1.0,1.0,1.0
TASK_3_THREE_TIER_POLICY,TARGETED_41,PRODUCTION_T0,Logistic_Regression,1,32,9,0.8888888888888888,0.8888888888888888,0.9166666666666666,0.8857142857142857,-1.0,-1.0
TASK_3_THREE_TIER_POLICY,TARGETED_41,PRODUCTION_T0,Logistic_Regression,2,33,8,0.875,0.9166666666666666,0.8888888888888888,0.8857142857142858,-1.0,-1.0
TASK_3_THREE_TIER_POLICY,TARGETED_41,PRODUCTION_T0,Logistic_Regression,3,33,8,1.0,1.0,1.0,1.0,-1.0,-1.0
TASK_3_THREE_TIER_POLICY,TARGETED_41,PRODUCTION_T0,Logistic_Regression,4,33,8,0.75,0.8333333333333334,0.7777777777777777,0.7222222222222222,-1.0,-1.0
TASK_3_THREE_TIER_POLICY,TARGETED_41,PRODUCTION_T0,Logistic_Regression,5,33,8,1.0,1.0,1.0,1.0,-1.0,-1.0
TASK_3_THREE_TIER_POLICY,TARGETED_41,PRODUCTION_T0,Linear_SVM,1,32,9,0.8888888888888888,0.8888888888888888,0.9166666666666666,0.8857142857142857,-1.0,-1.0
TASK_3_THREE_TIER_POLICY,TARGETED_41,PRODUCTION_T0,Linear_SVM,2,33,8,0.875,0.9166666666666666,0.8888888888888888,0.8857142857142858,-1.0,-1.0
TASK_3_THREE_TIER_POLICY,TARGETED_41,PRODUCTION_T0,Linear_SVM,3,33,8,1.0,1.0,1.0,1.0,-1.0,-1.0
TASK_3_THREE_TIER_POLICY,TARGETED_41,PRODUCTION_T0,Linear_SVM,4,33,8,0.75,0.8333333333333334,0.7777777777777777,0.7222222222222222,-1.0,-1.0
TASK_3_THREE_TIER_POLICY,TARGETED_41,PRODUCTION_T0,Linear_SVM,5,33,8,1.0,1.0,1.0,1.0,-1.0,-1.0
TASK_3_THREE_TIER_POLICY,TARGETED_41,PRODUCTION_T0,Decision_Tree,1,32,9,0.8888888888888888,0.8888888888888888,0.9166666666666666,0.8857142857142857,-1.0,-1.0
TASK_3_THREE_TIER_POLICY,TARGETED_41,PRODUCTION_T0,Decision_Tree,2,33,8,0.875,0.9166666666666666,0.8888888888888888,0.8857142857142858,-1.0,-1.0
TASK_3_THREE_TIER_POLICY,TARGETED_41,PRODUCTION_T0,Decision_Tree,3,33,8,1.0,1.0,1.0,1.0,-1.0,-1.0
TASK_3_THREE_TIER_POLICY,TARGETED_41,PRODUCTION_T0,Decision_Tree,4,33,8,0.75,0.8333333333333334,0.7777777777777777,0.7222222222222222,-1.0,-1.0
